Kingdom,Division,Group_Name,Family,Botanical_Name,Naturalisation_Status,NCA_Status,Burke,Burnett,Cook,Darling_Downs,Gregory_North,Gregory_South,Leichhardt,Maranoa,Mitchell,Moreton,North_Kennedy,Port_Curtis,South_Kennedy,Warrego,Wide_Bay,Queensland,ACT,NSW,NT,SA,TAS,VIC,WA,Australia,NG,Africa,America,Antarctica,Asia,NZ,Europe,Malesia,Melanesia,Pacific_islands,Notes
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia acrionastes Pedley,Native to QLD,Near threatened,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia ammophila Pedley,Native to QLD,Vulnerable,,,,,,,,,1,,,,,32,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia arbiana Pedley,Native to QLD,Near threatened,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia argentina Pedley,Native to QLD,Vulnerable,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia argyrotricha Pedley,Native to QLD,Vulnerable,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia armitii F.Muell. ex Maiden,Native to QLD,Near threatened,3,,14,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia attenuata Maiden & Blakely,Native to QLD,Vulnerable,,,,,,,,,,33,,6,,,28,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia barakulensis Pedley,Native to QLD,Vulnerable,,1,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia baueri Benth. subsp. baueri,Native to QLD,Vulnerable,,,,,,,,,,23,,,,,19,,,4,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia calantha Pedley,Native to QLD,Near threatened,,8,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia crombiei C.T.White,Native to QLD,Vulnerable,26,,,,,,,,9,,2,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia curranii Maiden,Native to QLD,Vulnerable,,,,12,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia deuteroneura Pedley,Native to QLD,Endangered,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia eremophiloides Pedley & P.I.Forst.,Native to QLD,Vulnerable,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia guymeri Tindale,Native to QLD,Vulnerable,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia handonis Pedley,Native to QLD,Vulnerable,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia hockingsii Pedley,Native to QLD,Vulnerable,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia homaloclada F.Muell.,Native to QLD,Vulnerable,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia hylonoma Pedley,Native to QLD,Vulnerable,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia islana Pedley,Native to QLD,Vulnerable,,6,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia lauta Pedley,Native to QLD,Vulnerable,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia longipedunculata Pedley,Native to QLD,Near threatened,,,26,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia lumholtzii Pedley,Native to QLD,Vulnerable,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia ommatosperma (Pedley) Pedley,Native to QLD,Near threatened,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia pedleyi Tindale & Kodela,Native to QLD,Vulnerable,,,,,,,1,,,,,23,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia peuce F.Muell.,Native to QLD,Vulnerable,,,,,17,18,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia porcata P.I.Forst.,Native to QLD,Endangered,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia pubifolia Pedley,Native to QLD,Vulnerable,,,,26,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia purpureopetala F.M.Bailey,Native to QLD,Vulnerable,,,42,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia rubricola Pedley,Native to QLD,Endangered,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia ruppii Maiden & Betche,Native to QLD,Vulnerable,,,,12,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia saxicola Pedley,Native to QLD,Endangered,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia solenota Pedley,Native to QLD,Vulnerable,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia sp. (Castletower N.Gibson TOI345),Native to QLD,Vulnerable,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia sp. (Ruined Castle Creek P.I.Forster+ PIF17848),Native to QLD,Endangered,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia spania Pedley,Native to QLD,Near threatened,,,,,,,7,1,6,,,1,4,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia storyi Tindale,Native to QLD,Near threatened,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia tingoorensis Pedley,Native to QLD,Vulnerable,,15,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Acacia wardellii Tindale,Native to QLD,Near threatened,,4,,18,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Euphorbiaceae,Acalypha lyonsii P.I.Forst.,Native to QLD,Vulnerable,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Elaeocarpaceae,Aceratium ferrugineum C.T.White,Native to QLD,Near threatened,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Elaeocarpaceae,Aceratium sericoleopsis Balgooy,Native to QLD,Near threatened,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Orchidaceae,Acianthus saxatilis D.L.Jones & M.A.Clem.,Native to QLD,Endangered,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Orchidaceae,Acianthus sublestus Dockrill,Native to QLD,Near threatened,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Myrtaceae,Acmena mackinnoniana B.Hyland,Native to QLD,Near threatened,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Myrtaceae,Acmenosperma pringlei B.Hyland,Native to QLD,Vulnerable,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Orchidaceae,Acriopsis emarginata D.L.Jones & M.A.Clem.,Native to QLD,Vulnerable,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,
Plantae,Streptophyta,Angiosperms,Rutaceae,Acronychia acuminata T.G.Hartley,Native to QLD,Near threatened,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Rutaceae,Acronychia eungellensis T.G.Hartley & B.Hyland,Native to QLD,Near threatened,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Rutaceae,Acronychia littoralis T.G.Hartley & J.B.Williams,Native to QLD,Endangered,,,,,,,,,,10,,,,,3,,,8,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Ericaceae,Acrotriche baileyana (Domin) J.M.Powell,Native to QLD,Near threatened,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Phyllanthaceae,Actephila bella P.I.Forst.,Native to QLD,Vulnerable,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Phyllanthaceae,Actephila championiae P.I.Forst.,Native to QLD,Vulnerable,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Phyllanthaceae,Actephila foetida Domin,Native to QLD,Vulnerable,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Gymnosperms,Araucariaceae,Agathis microstachya J.F.Bailey & C.T.White,Native to QLD,Near threatened,,,55,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Ericaceae,Agiortia cicatricata (J.M.Powell) Quinn,Native to QLD,Near threatened,,,,1,,,,,,11,,,,,,,,3,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Meliaceae,Aglaia argentea Blume,Native to QLD,Vulnerable,,,10,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,5,,,
Plantae,Streptophyta,Angiosperms,Meliaceae,Aglaia brassii Merr. & L.M.Perry,Native to QLD,Near threatened,,,18,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,
Plantae,Streptophyta,Angiosperms,Leguminosae (Mimosaceae),Albizia sp. (Windsor Tableland B.Gray 2181),Native to QLD,Vulnerable,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Sapindaceae,Alectryon ramiflorus S.T.Reynolds,Native to QLD,Endangered,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Sapindaceae,Alectryon repandodentatus Radlk.,Native to QLD,Endangered,,,14,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Casuarinaceae,Allocasuarina emuina L.A.S.Johnson,Native to QLD,Endangered,,,,,,,,,,91,,,,,3,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Casuarinaceae,Allocasuarina filidens L.A.S.Johnson,Native to QLD,Vulnerable,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Casuarinaceae,Allocasuarina rigida subsp. exsul L.A.S.Johnson,Native to QLD,Vulnerable,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Casuarinaceae,Allocasuarina rupicola L.A.S.Johnson,Native to QLD,Near threatened,,,,14,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Casuarinaceae,Allocasuarina thalassoscopica L.A.S.Johnson,Native to QLD,Endangered,,,,,,,,,,24,,,,,,,,2,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Proteaceae,Alloxylon flammeum P.H.Weston & Crisp,Native to QLD,Vulnerable,,,24,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Proteaceae,Alloxylon pinnatum (Maiden & Betche) P.H.Weston & Crisp,Native to QLD,Near threatened,,,,,,,,,,24,,,,,,,,6,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Zingiberaceae,Alpinia hylandii R.M.Sm.,Native to QLD,Near threatened,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Lythraceae,Ammannia robertsii (F.Muell.) S.A.Graham & Gandhi,Native to QLD,Endangered,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Zingiberaceae,Amomum queenslandicum R.M.Sm.,Native to QLD,Vulnerable,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Poaceae,Amphibromus whitei C.E.Hubb.,Native to QLD,Presumed extinct in the wild,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Pteridophytes,Thelypteridaceae,Amphineuron immersum (Blume) Holttum,Native to QLD,Endangered,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,
Plantae,Streptophyta,Angiosperms,Olacaceae,Anacolosa papuana G.Schellenb.,Native to QLD,Near threatened,,,9,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,1,4,,
Plantae,Streptophyta,Angiosperms,Orchidaceae,Anoectochilus yatesiae F.M.Bailey,Native to QLD,Near threatened,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Pteridophytes,Pteridaceae,Antrophyum austroqueenslandicum D.L.Jones,Native to QLD,Presumed extinct in the wild,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Pteridophytes,Pteridaceae,Antrophyum plantagineum (Cav.) Kaulf.,Native to QLD,Near threatened,,,13,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,1,5,2,
Plantae,Streptophyta,Pteridophytes,Pteridaceae,Antrophyum subfalcatum Brack.,Native to QLD,Vulnerable,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Celastraceae,Apatophyllum flavovirens A.R.Bean & Jessup,Native to QLD,Endangered,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Celastraceae,Apatophyllum olsenii McGill.,Native to QLD,Endangered,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Celastraceae,Apatophyllum teretifolium A.R.Bean & Jessup,Native to QLD,Near threatened,,6,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Orchidaceae,Aphyllorchis anomala Dockrill,Native to QLD,Near threatened,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Orchidaceae,Aphyllorchis queenslandica Dockrill,Native to QLD,Near threatened,,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Poaceae,Apluda mutica L.,Native to QLD,Vulnerable,,,6,,,,,,,,,,,,,,,,,,,,,2,38,,,,9,,,15,6,,
Plantae,Streptophyta,Angiosperms,Aponogetonaceae,Aponogeton bullosus H.Bruggen,Native to QLD,Endangered,,,24,,,,,,,,9,,,,,,,,1,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Aponogetonaceae,Aponogeton elongatus F.Muell. ex Benth. subsp. elongatus,Native to QLD,Near threatened,,3,,,,,,,,9,,,,,3,,,1,,,,,,,,,,,,,,,,,
